stock,buy_date,sell_date,buy_price,sell_price,quantity,pnl,return_rate
301100.SZ,2025-10-07,2025-10-13,79.53739752766445,75.68926496648271,100,-387.74242747500375,-0.04838142409478883
002970.SZ,2025-10-09,2025-10-13,75.79440583369836,80.23844066950136,100,441.27758720764905,0.058632755107991985
300373.SZ,2025-10-09,2025-10-13,38.89098020130459,37.37281454759621,200,-306.52171709576305,-0.03903644613352944
300307.SZ,2025-10-10,2025-10-13,93.26671053193337,98.00369510224758,100,469.7881408045796,0.05078966056910864
000813.SZ,2025-10-07,2025-10-14,100.38321793410434,107.28932720411518,100,686.2809383094973,0.06879744853910041
300841.SZ,2025-10-07,2025-10-14,18.021432016852795,17.36879465974,400,-263.71828612792524,-0.03621451150510564
000027.SZ,2025-10-08,2025-10-14,43.69904490772837,46.24595074520372,100,252.98871252562458,0.058282871922102776
002032.SZ,2025-10-10,2025-10-14,52.52112495247064,50.531368593502,100,-200.85078130788952,-0.03788487700462024
300205.SZ,2025-10-01,2025-10-15,14.504668210648115,13.957175708824845,600,-331.7741357209852,-0.03774595143247372
300780.SZ,2025-10-01,2025-10-15,76.86123519592923,83.88920644845169,100,699.5120989991883,0.0914371364785806
301587.SZ,2025-10-01,2025-10-15,100.47372989179621,97.25331330553564,100,-325.9183419442361,-0.032052324420808825
000911.SZ,2025-10-07,2025-10-15,27.802542931112377,29.26362648069737,200,290.0131406618175,0.052552155146570016
301002.SZ,2025-10-08,2025-10-15,91.07245742255941,95.63878767927386,100,452.82856169826846,0.0501395305007256
001322.SZ,2025-10-10,2025-10-15,66.91127789176628,64.56777680775289,100,-236.8059701161128,-0.03502400728026987
000151.SZ,2025-10-01,2025-10-16,82.1309934088838,87.58822392754278,100,542.2756793938206,0.06644544637966963
002429.SZ,2025-10-10,2025-10-16,78.18964663170348,83.65251531869143,100,543.0121927032242,0.06986690594369462
301076.SZ,2025-10-10,2025-10-16,69.2621871656751,67.03241809030331,100,-225.53669679400537,-0.03219316580399325
300307.SZ,2025-10-14,2025-10-16,96.1742231754914,92.74604851703937,100,-346.49303580130254,-0.03564546242496354
000813.SZ,2025-10-15,2025-10-16,107.59411088209369,113.58939839077644,100,594.9104521091886,0.05572133511333764
300299.SZ,2025-10-01,2025-10-17,20.396175005458314,22.02584028396563,400,648.3960425480263,0.07990053419678896
300768.SZ,2025-10-01,2025-10-17,62.81454416517571,66.95205314167582,100,411.19450600763594,0.06586864605146553
002998.SZ,2025-10-06,2025-10-17,79.36658979567883,76.31016396541872,100,-308.59850063988415,-0.03851023255665345
300271.SZ,2025-10-08,2025-10-17,10.947008298768038,11.548368315334322,700,417.8000323583101,0.05493373167844956
002872.SZ,2025-10-14,2025-10-17,36.956248715937804,38.94879064755028,200,395.4839378968436,0.053916238818718966
300682.SZ,2025-10-14,2025-10-17,79.93832745541602,84.69966966549958,100,472.813719331898,0.05956269491301418
002032.SZ,2025-10-15,2025-10-17,49.5786723524215,47.34940060036418,100,-224.67347271420294,-0.044964329343289505
300841.SZ,2025-10-15,2025-10-17,17.732573516588477,17.015216414520683,400,-289.54616219700074,-0.0404542014951592
001322.SZ,2025-10-16,2025-10-17,65.40176974675967,63.061516319677544,100,-236.4179677803295,-0.03578272325265438
301002.SZ,2025-10-16,2025-10-17,91.86729830596961,88.55165322421396,100,-335.0543455475545,-0.036091679443023245
300584.SZ,2025-10-01,2025-10-20,78.06617598114246,75.36600157494527,100,-272.9327000155363,-0.03458827555290324
300373.SZ,2025-10-14,2025-10-20,36.75893871124212,38.775951195307194,200,400.3929900962539,0.05487134707314604
000027.SZ,2025-10-15,2025-10-20,46.54858697199485,51.52292504323118,100,495.51829054024074,0.10686335278510292
000911.SZ,2025-10-16,2025-10-20,29.66058077025046,28.613114686358475,200,-211.6429087542665,-0.03531509015300843
300205.SZ,2025-10-16,2025-10-20,14.007003031565976,13.583002476004983,500,-214.5974196067118,-0.030270612107777147
300780.SZ,2025-10-16,2025-10-20,83.71512302868858,81.17549210200664,100,-257.12972785739566,-0.030336584774672357
000813.SZ,2025-10-17,2025-10-20,115.91833711964506,112.28771418862051,100,-367.62079136858665,-0.03132052288911979
002046.SZ,2025-10-01,2025-10-21,15.43513214199204,16.233580572950043,600,475.1857375018444,0.0517292902718846
002032.SZ,2025-10-20,2025-10-21,47.23366378960342,45.31159587591723,100,-193.87114921623925,-0.040692755113128816
300768.SZ,2025-10-20,2025-10-21,65.62206489252273,62.685542499266056,100,-296.02911338058584,-0.04474900931670125
002144.SZ,2025-10-13,2025-10-22,64.45073776946946,69.51932371903743,100,504.193375298325,0.078642791765977
301100.SZ,2025-10-14,2025-10-22,77.1034311393355,74.01463815189948,100,-311.7364988504769,-0.040060383069777904
301419.SZ,2025-10-14,2025-10-22,18.225890116836734,19.27056170420173,400,414.87941242529996,0.05731800096830097
002429.SZ,2025-10-17,2025-10-22,84.43606572984969,81.67375527349084,100,-279.4193728785649,-0.032714817210891436
000965.SZ,2025-10-01,2025-10-23,58.57557198819461,61.98030049587348,100,338.12548591741506,0.058125399242623894
300835.SZ,2025-10-01,2025-10-23,57.729711320749885,54.340097439277784,100,-340.99216309845815,-0.05871524045286135
000151.SZ,2025-10-17,2025-10-23,88.39962877861747,85.11752412539757,100,-331.5492781646335,-0.03712803660566723
300307.SZ,2025-10-17,2025-10-23,92.60754012457006,98.46171105229624,100,581.486226808951,0.06321484103617801
300373.SZ,2025-10-21,2025-10-23,39.686408448827706,41.81374754992051,200,422.1942380628352,0.05360371936492631
002806.SZ,2025-10-01,2025-10-24,48.14508917995302,51.4724301339562,100,330.8206372056611,0.06911070289155564
001356.SZ,2025-10-09,2025-10-24,25.869237629265523,27.49950924983719,300,485.8572069348538,0.0630197010029921
002970.SZ,2025-10-14,2025-10-24,80.30649094155574,77.41975905860141,100,-291.67698590422333,-0.035946432836359204
300271.SZ,2025-10-20,2025-10-24,11.956616489577964,11.506279747493986,700,-318.3748903156338,-0.03766422904644606
300299.SZ,2025-10-20,2025-10-24,22.151937862112813,23.612350334967804,300,435.40243205926436,0.06592707518166083
000027.SZ,2025-10-21,2025-10-24,51.442703738725605,55.538479334390075,100,407.4975094272004,0.07961820234929073
002429.SZ,2025-10-23,2025-10-24,79.44351004632078,76.66761530084068,100,-280.56080499378913,-0.03494174343330969
001322.SZ,2025-10-20,2025-10-27,64.66590821049861,60.785927116529635,100,-390.29560669824787,-0.060000411365738124
002872.SZ,2025-10-20,2025-10-27,40.38728484525735,43.062029874197115,200,531.5660264585085,0.06622740397597837
301002.SZ,2025-10-20,2025-10-27,91.38159993420213,88.22618766071464,100,-319.0167109390932,-0.03453006158525885
301100.SZ,2025-10-23,2025-10-27,73.19921401755188,77.8871738425161,100,465.7719840733962,0.06404385467636489
301419.SZ,2025-10-23,2025-10-27,19.065202560174438,18.351257980875943,400,-288.4088930355356,-0.03744752131770494
300307.SZ,2025-10-24,2025-10-28,95.32324544745354,92.1905606564549,100,-316.91937202948975,-0.03286380752452994
001356.SZ,2025-10-27,2025-10-28,28.406828083977132,27.061720482500565,200,-271.0434022930922,-0.04735155919204068
002970.SZ,2025-10-27,2025-10-28,74.49377913149343,78.73579190188279,100,421.1405554755156,0.05694452368836779
000813.SZ,2025-10-21,2025-10-29,115.00237977618248,121.20484548617297,100,615.2760442538329,0.05393336835343516
000911.SZ,2025-10-21,2025-10-29,27.560858469992002,29.539220326936242,200,393.4459264986399,0.0717815760020052
002032.SZ,2025-10-22,2025-10-29,45.303986965314316,42.331822287964464,100,-298.76184555705095,-0.06560492522711972
300835.SZ,2025-10-24,2025-10-29,56.38389509842587,53.75989011198782,100,-264.40746896957353,-0.0465381999923468
002806.SZ,2025-10-27,2025-10-29,52.50882956675972,50.40695867587754,100,-212.05717645888126,-0.04002890386672709
300271.SZ,2025-10-27,2025-10-29,11.347031269150971,10.894430004329283,700,-319.77468439335007,-0.039887196402830845
300584.SZ,2025-10-21,2025-10-30,74.85033508424469,81.1236448818998,100,624.1666005763082,0.08381137894165007
300299.SZ,2025-10-27,2025-10-30,23.453221522352912,25.190686888529726,300,518.3154835416799,0.0740821624236509
002872.SZ,2025-10-28,2025-10-30,43.768992580549046,41.64674214829148,100,-213.74320977177103,-0.048487532089114035
300780.SZ,2025-10-21,2025-10-31,79.42911678700344,84.45438675959731,100,499.21723771449797,0.06326735302961513
002144.SZ,2025-10-23,2025-10-31,72.18021842514251,66.85092407336079,100,-535.4815521960363,-0.07383317019619014
002970.SZ,2025-10-29,2025-10-31,72.5984826283501,78.22859606762214,100,559.972578121161,0.07755139274871631
300307.SZ,2025-10-29,2025-10-31,93.5198001432679,89.75742876546528,100,-379.7802260892222,-0.0402307465588982
300835.SZ,2025-10-30,2025-10-31,53.92097830816133,58.01099827321722,100,406.8198260707659,0.07585210976108779
